loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,pymnt_plan,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag,target
21500.0,0.2534,635.35,RENT,43000.0,Source Verified,n,25.29,1.0,1.0,10.0,0.0,9485.0,18.0,w,21133.49,21133.49,1240.43,1240.43,366.51,873.92,0.0,0.0,0.0,635.35,0.0,1.0,Individual,0.0,140.0,25070.0,2.0,3.0,0.0,2.0,16.0,15585.0,41.0,3.0,4.0,1986.0,36.0,31400.0,2.0,10.0,5.0,6.0,2507.0,3514.0,36.1,0.0,0.0,84.0,88.0,2.0,2.0,0.0,34.0,2.0,0.0,1.0,4.0,1.0,1.0,11.0,7.0,7.0,4.0,10.0,0.0,0.0,1.0,3.0,94.4,0.0,0.0,0.0,69356.0,25070.0,5500.0,37956.0,N,N,low_risk
20000.0,0.11800000000000001,442.88,MORTGAGE,109840.0,Source Verified,n,10.54,0.0,0.0,8.0,1.0,15758.0,15.0,w,19254.07,19254.07,1295.86,1295.86,745.93,549.93,0.0,0.0,0.0,442.88,0.0,1.0,Individual,0.0,0.0,451079.0,0.0,0.0,0.0,2.0,18.0,25918.0,88.0,0.0,0.0,10627.0,77.0,24900.0,1.0,5.0,0.0,3.0,56385.0,0.0,100.2,0.0,0.0,82.0,144.0,38.0,15.0,2.0,38.0,16.0,0.0,2.0,5.0,2.0,3.0,4.0,6.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,100.0,100.0,1.0,0.0,474366.0,41676.0,14000.0,29466.0,N,N,low_risk
20000.0,0.0819,628.49,RENT,120000.0,Source Verified,n,24.65,0.0,1.0,18.0,0.0,83365.0,29.0,w,19012.66,19012.66,1247.88,1247.88,987.34,260.54,0.0,0.0,0.0,628.49,0.0,1.0,Individual,0.0,0.0,115502.0,3.0,1.0,1.0,1.0,6.0,32137.0,93.0,4.0,7.0,35208.0,55.0,189000.0,3.0,4.0,7.0,8.0,6417.0,102435.0,43.0,0.0,0.0,109.0,144.0,6.0,6.0,0.0,17.0,0.0,0.0,9.0,10.0,15.0,18.0,7.0,17.0,22.0,10.0,18.0,0.0,0.0,0.0,5.0,100.0,6.7,0.0,0.0,223583.0,115502.0,183900.0,34583.0,N,N,low_risk
35000.0,0.08810000000000001,723.32,MORTGAGE,115000.0,Verified,n,18.69,0.0,0.0,15.0,0.0,37089.0,39.0,w,34533.64,34533.64,800.41,800.41,466.36,334.05,0.0,0.0,0.0,817.54,0.0,1.0,Individual,0.0,0.0,343907.0,0.0,3.0,0.0,1.0,16.0,27604.0,56.0,0.0,1.0,11905.0,69.0,44700.0,1.0,13.0,1.0,2.0,24565.0,3345.0,86.1,0.0,0.0,147.0,151.0,23.0,16.0,5.0,51.0,1.0,0.0,5.0,9.0,5.0,8.0,18.0,10.0,16.0,9.0,15.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,0.0,429362.0,64693.0,24100.0,49562.0,N,N,low_risk
6600.0,0.1356,224.17,RENT,80000.0,Source Verified,n,9.66,0.0,0.0,10.0,1.0,1864.0,25.0,w,6146.14,6146.14,660.08,660.08,453.86,206.22,0.0,0.0,0.0,224.17,0.0,1.0,Individual,0.0,0.0,22521.0,1.0,2.0,4.0,5.0,10.0,20657.0,85.0,2.0,7.0,1474.0,57.0,15200.0,2.0,4.0,2.0,12.0,2252.0,7251.0,17.6,0.0,0.0,120.0,180.0,1.0,1.0,1.0,1.0,11.0,0.0,2.0,3.0,4.0,7.0,7.0,8.0,15.0,3.0,10.0,0.0,0.0,0.0,6.0,89.5,0.0,1.0,0.0,39458.0,22521.0,8800.0,24258.0,N,N,low_risk
25000.0,0.0819,509.19,MORTGAGE,116000.0,Not Verified,n,22.03,0.0,1.0,13.0,0.0,1275.0,53.0,w,24661.44,24661.44,440.94,440.94,338.56,102.38,0.0,0.0,0.0,463.69,0.0,1.0,Individual,0.0,0.0,524101.0,4.0,5.0,4.0,6.0,4.0,175398.0,84.0,2.0,2.0,837.0,40.0,64400.0,2.0,9.0,5.0,10.0,40315.0,58225.0,2.1,0.0,0.0,127.0,90.0,4.0,2.0,4.0,7.0,2.0,0.0,2.0,2.0,6.0,7.0,37.0,7.0,12.0,2.0,13.0,0.0,0.0,0.0,8.0,98.0,0.0,0.0,0.0,581293.0,176673.0,59500.0,169465.0,N,N,low_risk
20000.0,0.1072,652.13,OWN,120000.0,Verified,n,16.26,0.0,0.0,16.0,0.0,9575.0,27.0,w,19526.54,19526.54,640.22,640.22,473.46,166.76,0.0,0.0,0.0,652.13,0.0,1.0,Individual,0.0,0.0,128945.0,0.0,3.0,0.0,1.0,21.0,73644.0,61.0,0.0,4.0,2694.0,56.0,22800.0,0.0,3.0,0.0,6.0,8059.0,4175.0,67.4,0.0,0.0,159.0,119.0,13.0,13.0,1.0,21.0,21.0,0.0,9.0,10.0,9.0,9.0,12.0,12.0,14.0,10.0,16.0,0.0,0.0,0.0,0.0,96.3,33.3,0.0,0.0,173342.0,83219.0,12800.0,101937.0,N,N,low_risk
12500.0,0.1072,407.58,MORTGAGE,82000.0,Not Verified,n,25.68,0.0,1.0,7.0,0.0,9989.0,12.0,w,0.0,0.0,12548.3899999996,12548.39,12500.0,48.39,0.0,0.0,0.0,12567.0,0.0,1.0,Individual,0.0,0.0,74450.0,3.0,3.0,2.0,3.0,1.0,64461.0,79.0,1.0,1.0,2845.0,59.0,44600.0,1.0,0.0,2.0,4.0,10636.0,27043.0,16.8,0.0,0.0,150.0,67.0,3.0,1.0,0.0,33.0,1.0,1.0,2.0,3.0,2.0,2.0,7.0,4.0,5.0,3.0,7.0,0.0,0.0,0.0,3.0,91.7,0.0,0.0,0.0,126245.0,74450.0,32500.0,81645.0,N,N,low_risk
26500.0,0.124,594.85,MORTGAGE,10000.0,Not Verified,n,53.18,0.0,0.0,6.0,1.0,1297.0,11.0,w,26178.98,26178.98,576.59,576.59,321.02,255.57,0.0,0.0,0.0,594.85,0.0,1.0,Joint App,0.0,0.0,11325.0,0.0,1.0,0.0,0.0,61.0,10028.0,39.0,0.0,0.0,332.0,37.0,4600.0,0.0,0.0,2.0,0.0,1888.0,2168.0,13.3,0.0,0.0,96.0,143.0,44.0,44.0,0.0,75.0,7.0,0.0,1.0,3.0,2.0,4.0,3.0,5.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,90.9,0.0,1.0,0.0,30669.0,11325.0,2500.0,26069.0,N,N,low_risk
40000.0,0.0646,1225.24,MORTGAGE,300000.0,Source Verified,n,9.16,1.0,3.0,15.0,0.0,84793.0,27.0,w,38990.09,38990.09,1196.53,1196.53,1009.91,186.62,0.0,0.0,0.0,1225.24,0.0,1.0,Individual,0.0,0.0,693536.0,0.0,3.0,1.0,1.0,11.0,33503.0,54.0,0.0,2.0,4429.0,39.0,126200.0,5.0,0.0,13.0,3.0,49538.0,26940.0,26.8,0.0,0.0,234.0,104.0,23.0,11.0,2.0,57.0,1.0,1.0,3.0,6.0,5.0,5.0,11.0,11.0,14.0,6.0,15.0,0.0,0.0,0.0,1.0,92.6,0.0,0.0,0.0,780665.0,118296.0,36800.0,62465.0,N,N,low_risk
